Date : 2025-07-13 00:25:32
Directory : c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src
Total : 111 files,  9020 codes, 270 comments, 1477 blanks, all 10767 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\EditPerfil\style.css                    | PostCSS        |         36 |          0 |         11 |         47 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\index.jsx                               | JavaScript JSX |        197 |          0 |         26 |        223 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\style.css                               | PostCSS        |        141 |          0 |         25 |        166 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\Estatistica\index.jsx                | JavaScript JSX |        156 |          6 |         14 |        176 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\Estatistica\style.css                | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EditarVideo\index.jsx      | JavaScript JSX |        215 |          1 |         40 |        256 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EditarVideo\style.css      | PostCSS        |         12 |          0 |          1 |         13 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EstatisticaVideo\index.jsx | JavaScript JSX |         98 |          0 |         11 |        109 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\EstatisticaVideo\style.css | PostCSS        |         40 |          0 |          6 |         46 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\ListarVideo\index.jsx      | JavaScript JSX |        153 |          0 |         12 |        165 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\ListarVideo\style.css      | PostCSS        |         25 |          0 |          3 |         28 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\PublicarVideo\index.jsx    | JavaScript JSX |        168 |          0 |         23 |        191 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Professor\ProfVideo\PublicarVideo\style.css    | PostCSS        |         74 |          0 |         13 |         87 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\SearchDisciplina\SearchDisciplina.jsx          | JavaScript JSX |        128 |          6 |         28 |        162 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\SearchDisciplina\style.css                     | PostCSS        |         92 |          1 |         23 |        116 |
